GEN	R18	R19	R20	AUDPC	LP50	IF	IT	DS	R18t	R19t	R20t	I_cc_FAI_LP	I_cc_FAI	I_cc_SH
P19	10.86	6.55	29.14	11.49	0.96	6.11	3.85	0.24	0.213803966	0.164806666	0.362984317	0.909	0.896	526.619
P30	12.16	10.34	5.20	14.65	0.97	7.74	3.94	0.31	0.226803319	0.208430731	0.146505395	0.906	1.125	612.816
2888	9.72	12.97	13.27	8.95	0.97	4.68	3.92	0.19	0.201864379	0.23452027	0.237334565	0.918	0.765	482.674
P48	9.36	6.81	5.54	15.58	0.96	7.90	3.91	0.33	0.197935371	0.168047926	0.151278141	0.798	1.183	641.062
P67	10.03	9.83	27.15	10.86	0.97	5.79	3.59	0.23	0.205114326	0.203022441	0.348957711	1.127	0.725	504.069
P617	8.30	8.71	12.39	13.00	0.97	7.42	3.92	0.28	0.186020839	0.190729699	0.228997975	1.143	1.147	602.061
2964	12.26	11.99	40.31	11.93	0.96	6.22	3.83	0.25	0.227756993	0.225066253	0.437932613	0.828	0.970	539.482
3025	13.01	11.56	3.11	14.91	0.97	8.02	3.91	0.32	0.234952884	0.220805061	0.112838114	0.997	1.157	635.057
3062	8.37	21.21	47.58	10.65	0.97	5.66	3.92	0.23	0.186882876	0.304673688	0.484599403	1.050	1.034	539.399
3089	9.25	14.80	33.82	15.49	0.96	8.02	3.90	0.33	0.196783811	0.251401621	0.39507798	0.857	1.173	638.711
3098	10.84	29.62	6.95	14.71	0.97	7.73	3.93	0.33	0.213588254	0.366352044	0.169894093	0.898	1.233	655.722
P6	8.20	6.79	18.20	12.34	0.96	6.45	3.74	0.26	0.184846594	0.16788215	0.280606009	0.843	0.911	539.685
P20	14.33	5.38	4.60	11.18	0.97	6.08	3.70	0.23	0.247170768	0.148996718	0.137643499	1.083	0.802	511.172
P31	13.93	7.13	24.42	14.59	0.97	7.83	3.91	0.30	0.243472467	0.172068115	0.329047934	0.986	1.186	623.635
2895	9.68	8.07	46.51	16.55	0.96	8.59	3.94	0.35	0.20140102	0.183371115	0.477764338	0.803	1.229	674.847
